#NAME?,,,,,,,,,,,,,,,,,,,,,,,
Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Slovenia,0,0,4.76,4.55,4.17,4,6.9,6.67,6.67,6.06,5.56,5.56,7.89,7.89,8.11,8.11,8.11,8.33,8.33,8.57,8.57,8.57,8.82
Spain,10.87,9.26,9.09,8.77,8.57,8.22,7.69,7.32,7.14,7.06,6.38,7.07,6.8,6.96,5.56,5.51,5.43,5.3,5.34,5.22,5.26,5.11,4.9
Sweden,8.62,8.47,8.33,8.33,6.67,6.67,6.9,6.56,7.94,9.52,9.38,9.68,10,8.77,8.77,8.93,8.77,8.62,8.47,8.47,8.33,8.33,8.33
Switzerland,2.04,1.92,1.85,1.85,1.79,1.72,1.72,1.72,1.67,1.52,1.49,1.43,1.47,1.45,1.47,1.49,1.52,1.56,1.56,1.54,1.54,1.49,1.49
Türkiye,7.69,7.69,6.67,6.67,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25
United Kingdom,22.73,17.24,12.5,13.79,13.33,15.15,15.63,15.63,14.71,11.9,10.42,12,13.21,13.46,13.46,13.46,13.46,12,12,12,12,12,11.54
United States,2.45,2.43,2.41,2.39,2.56,2.71,2.85,2.8,2.76,2.73,2.71,2.7,2.69,2.7,2.72,2.72,2.72,2.73,2.72,2.73,2.73,2.73,2.73
European Union,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  Albania,11.11,11.11,10,10,10,11.76,11.76,11.76,11.76,11.76,11.76,11.76,11.76,11.76,11.76,11.76,11.76,11.76,11.76,11.76,11.76,11.76,11.76
  Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Argentina,16.67,14.29,12.5,12.5,12.5,12.5,11.11,11.11,11.11,20,20,20,20,20,20,18.18,18.18,18.18,16.67,16.67,16.67,16.67,16.67
  Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11
  Brunei Darussalam,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
  Bulgaria,17.24,16.67,16.13,18.75,17.14,19.44,18.92,17.5,17.5,17.5,17.5,17.5,17.07,17.07,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5
  Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Cambodia,50,50,50,50,50,50,83.33,83.33,85.71,75,75,75,75,75,75,75,75,77.78,77.78,77.78,77.78,77.78,77.78
  Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  China (People's Republic of),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Democratic Republic of the Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Cook Islands,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
  Côte d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Croatia,9.09,8.82,8.82,8.82,7.14,6.82,8.16,7.69,7.69,7.69,7.84,7.84,7.84,7.41,7.41,7.41,7.41,7.41,7.41,7.41,7.41,7.41,7.41
  Cyprus,0,10,10,9.09,8.33,6.67,6.67,6.67,6.67,6.25,6.25,6.25,5.26,5.26,5,5,5,4.76,4.76,4.76,4.76,4.76,4.76
  Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Ecuador,0,33.33,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Equatorial Guinea,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
  Fiji,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,40,40,40,40,40,40,40,40
  Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  India,0.76,0.75,0.73,0.72,0.71,0.69,0.68,0.67,0.66,0.65,0.64,0.62,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
  Indonesia,62.5,62.5,70,81.25,81.25,81.25,81.25,82.35,82.35,83.33,83.33,78.95,78.95,78.95,78.95,78.95,78.95,78.95,78.95,78.95,78.95,78.95,78.95
  Iran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Kenya,0,0,0,0,0,0,0,0,0,0,7.14,7.14,7.14,7.14,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67
  Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Lao People's Democratic Republic,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
  Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Malaysia,47.06,47.06,47.06,47.06,44.44,42.11,42.11,42.11,42.11,42.11,47.62,50,47.83,47.83,47.83,47.83,47.83,53.85,53.85,53.85,53.85,53.85,53.85
  Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Malta,9.68,9.09,8.57,10.26,10,11.63,10.42,12,12,12,11.76,10,9.8,9.8,9.8,10.34,10.34,10.34,10.34,10.34,10.34,10.34,10.34
  Mauritania,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,28.57,28.57,28.57,28.57,28.57,28.57,28.57,28.57
  Mauritius,12.5,12.5,12.5,12.5,12.5,12.5,12.5,20,20,20,20,20,20,18.18,18.18,18.18,18.18,18.18,18.18,18.18,18.18,18.18,18.18
  Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Montenegro,13.33,18.75,16.67,15.79,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
  Morocco,20,20,20,20,20,20,20,20,20,20,20,20,20,18.18,16.67,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38
  Mozambique,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
  Myanmar,90,90,90,90,90,90,92.31,92.31,92.31,92.31,92.31,92.31,92.86,92.86,92.86,92.86,92.86,92.86,92.86,92.86,92.86,92.86,92.86
  Namibia,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,33.33,33.33,33.33,33.33,33.33,33.33
  Nauru,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
  Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  North Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Panama,50,50,50,50,50,50,50,50,50,50,50,50,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33
  Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Peru,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,33.33,33.33,33.33,33.33
  Philippines,45.45,45.45,45.45,62.5,64.71,57.89,57.89,57.89,57.89,57.89,57.89,55,55,55,55,55,57.14,57.14,57.14,57.14,57.14,60.87,60.87
  Romania,11.54,11.11,10.71,9.68,9.68,8.57,8.57,8.57,8.57,8.57,8.57,8.57,8.57,8.57,8.57,8.57,8.57,8.57,8.57,8.57,8.57,8.57,8.57
  Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,7.69,7.14,7.14,7.14,7.14,7.14,7.14,7.14
  Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Saint Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Seychelles,25,25,25,25,25,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33
  Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Singapore,90.91,90.91,90.91,90.91,90.91,90.91,91.3,91.3,91.3,91.3,91.3,87.5,87.5,87.5,87.5,87.5,87.5,88,88,88,88,88,88
  Solomon Islands,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
  South Africa,0,0,0,0,0,5.88,5.88,5.88,5.88,4.76,4.35,4.35,4.35,8.7,8.33,8.33,8,7.69,7.69,7.41,7.41,7.41,7.41
  Eswatini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Thailand,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,85.71,85.71,85.71,85.71,86.67,86.67,87.5,88.24
  Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Tokelau,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
  Trinidad and Tobago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Tunisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Venezuela,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,..
  Viet Nam,66.67,66.67,66.67,66.67,66.67,75,75,75,75,75,75,75,80,80,80,80,80,80,80,80,80,83.33,87.5
