Aqua Production (Millions),Marine Protected Area (sqkm),Inventions (number),Instruments (number),Fishing Exports (Millions),Value,Country,Year
17256.0,420.72,4.0,1.0,419.94,4.76,Greece,2005
2772.0,29.79,1.0,4.0,1542.7,19.05,Iceland,2005
2902.75,129.67,4.0,1.0,435.58,9.09,Ireland,2005
7.5,43.09,6.0,7.0,21.47,20.59,Israel,2005
34585.75,629.61,9.5,2.0,629.46,4.08,Italy,2005
277451.0,3696.26,80.5,0.0,1129.61,0,Japan,2005
6265.75,1555.61,266.0,3.0,1260.72,5.56,Korea,2005
675.0,0.05,0.0,2.0,184.43,7.69,Latvia,2005
1093.5,0.32,0.0,3.0,235.13,9.68,Lithuania,2005
49598.25,433.31,5.0,2.0,669.35,9.09,Mexico,2005
7616.25,117.64,25.0,4.0,2851.52,11.11,Netherlands,2005
106775.5,260.41,2.0,2.0,1097.53,10.53,New Zealand,2005
6179.0,2335.44,31.33,4.0,5380.46,10.53,Norway,2005
7355.25,47.27,3.0,1.0,675.77,3.23,Poland,2005
39035.0,43.93,2.83,2.0,463.24,16.67,Portugal,2005
10.4,3.0,1.0,1.0,35.13,4,Slovenia,2005
48481.75,344.76,36.0,6.0,2575.28,8.22,Spain,2005
6766.75,21.99,5.0,4.0,1254.75,6.67,Sweden,2005
393.0,538.52,6.0,1.0,254.8,7.14,Türkiye,2005
17763.5,632.75,64.83,5.0,1931.02,15.15,United Kingdom,2005
111572.0,390.53,252.2,14.0,5128.88,2.71,United States,2005
8634.75,21.52,0.0,1.0,1892.41,12.5,  Argentina,2005
44960.75,216.42,3.83,0.0,628.42,0,  Brazil,2005
2690.5,32248.77,264.5,0.0,14840.42,0,  China (People's Republic of),2005
659.75,962.87,5.0,1.0,2041.4,0.69,  India,2005
56575.0,2778.9,0.0,13.0,2923.62,81.25,  Indonesia,2005
3555.75,336.28,0.0,8.0,806.86,42.11,  Malaysia,2005
2169.5,218.6,0.0,0.0,2302.59,0,  Peru,2005
5689.0,1202.97,0.0,11.0,634.67,57.89,  Philippines,2005
48792.25,126.87,70.5,0.0,2503.15,0,  Russia,2005
5153.25,1901.46,0.5,11.0,6865.25,84.62,  Thailand,2005
3319.25,3295.74,0.0,3.0,6264.03,75,  Viet Nam,2005
442910.5,592.96,37.0,6.0,794.33,6.98,Australia,2010
350.25,2.59,11.5,0.0,1026.85,0,Belgium,2010
50992.0,758.19,62.17,9.0,3353.09,4.37,Canada,2010
160674.3,3475.45,7.5,6.0,3237.25,17.65,Chile,2010
61416.5,46.78,0.5,0.0,146.57,0,Colombia,2010
58570.75,22.71,0.0,10.0,132.74,32.26,Costa Rica,2010
18667.0,116.6,39.83,4.0,3710.43,4.71,Denmark,2010
6725.5,2.51,2.0,4.0,183.61,13.79,Estonia,2010
7472.0,51.03,37.0,9.0,43.83,12.86,Finland,2010
96512.0,759.44,111.08,6.0,1436.13,12,France,2010
25155.75,79.33,208.12,1.0,2277.45,3.03,Germany,2010
18242.5,473.37,12.0,1.0,573.47,4.55,Greece,2010
2927.25,31.09,0.0,4.0,2061.34,16,Iceland,2010
5739.5,142.96,7.5,2.0,482.46,10,Ireland,2010
10.5,35.41,12.0,7.0,32.87,17.95,Israel,2010
37505.25,388.55,32.33,2.0,636.06,3.28,Italy,2010
277610.3,3867.26,150.62,0.0,1475.43,0,Japan,2010
6720.5,1943.48,1001.5,4.0,1887.15,7.14,Korea,2010
4636.25,0.2,0.0,3.0,166.45,9.09,Latvia,2010
1096.25,0.25,1.0,3.0,352.16,9.68,Lithuania,2010
59916.5,341.65,9.5,2.0,740.99,8.7,Mexico,2010
13689.25,118.01,43.92,5.0,2812.69,11.9,Netherlands,2010
1223623.0,346.97,2.95,3.0,1128.28,8.82,New Zealand,2010
6235.0,4196.34,79.5,7.0,7311.69,16.28,Norway,2010
7407.75,33.5,14.0,1.0,1187.16,2.94,Poland,2010
45644.5,55.33,13.5,2.0,801.92,6.9,Portugal,2010
10.4,2.01,0.0,2.0,21.79,5.56,Slovenia,2010
51787.5,460.13,42.5,6.0,2811.18,6.38,Spain,2010
10969.25,37.6,46.67,6.0,2443.42,9.38,Sweden,2010
393.0,558.54,6.5,1.0,285.55,7.14,Türkiye,2010
20522.75,847.51,162.95,5.0,2598.54,10.42,United Kingdom,2010
1606721.0,417.16,641.75,15.0,5198.17,2.71,United States,2010
9363.0,14.2,1.0,2.0,1880.41,20,  Argentina,2010
59231.75,343.19,10.5,0.0,179.58,0,  Brazil,2010
2690.5,38967.02,67.17,0.0,16722.53,0,  China (People's Republic of),2010
659.75,600.5,11.03,1.0,2405.49,0.64,  India,2010
131566.5,3430.77,1.0,15.0,2368.0,83.33,  Indonesia,2010
5350.5,536.62,0.25,10.0,754.99,47.62,  Malaysia,2010
3540.5,661.69,0.0,1.0,2578.71,20,  Peru,2010
9167.25,1584.34,0.0,11.0,747.09,57.89,  Philippines,2010
113905.5,140.9,68.0,0.0,2180.6,0,  Russia,2010
5179.5,2197.73,1.0,11.0,7289.2,84.62,  Thailand,2010
3319.25,2327.17,1.0,3.0,6170.95,75,  Viet Nam,2010
448550.0,611.87,14.17,6.0,735.22,6.82,Australia,2011
350.25,0.41,4.0,0.0,1093.77,0,Belgium,2011
51081.5,672.45,65.17,9.0,3400.54,4.37,Canada,2011
160674.3,5366.18,13.5,6.0,3919.84,17.65,Chile,2011
61425.5,45.22,1.0,0.0,140.74,0,Colombia,2011
58570.75,22.28,0.0,10.0,151.43,32.26,Costa Rica,2011
18676.25,123.1,47.42,4.0,3769.1,4.71,Denmark,2011
6725.5,1.77,1.0,4.0,193.43,13.79,Estonia,2011
8126.0,51.31,22.5,9.0,45.49,12.5,Finland,2011
97744.0,777.69,97.67,6.0,1449.13,11.32,France,2011
25157.25,82.99,138.33,1.0,2509.54,2.86,Germany,2011
22610.5,502.44,14.5,1.0,636.86,4.55,Greece,2011
2942.75,40.78,0.0,4.0,2274.09,16,Iceland,2011
5762.0,155.02,10.33,2.0,538.59,8.33,Ireland,2011
10.5,37.43,15.5,7.0,31.54,17.5,Israel,2011
37505.25,462.95,28.0,2.0,664.04,3.28,Italy,2011
277671.8,3689.78,176.33,0.0,1312.85,0,Japan,2011
6727.75,1933.87,1102.17,4.0,2267.85,7.14,Korea,2011
4636.25,0.22,0.5,3.0,174.89,8.33,Latvia,2011
1096.25,0.5,0.0,3.0,346.98,10,Lithuania,2011
59917.0,373.1,10.0,2.0,998.86,8.7,Mexico,2011
13692.5,84.41,21.25,5.0,2961.4,12.82,Netherlands,2011
1223627.0,260.21,1.0,3.0,1133.94,8.57,New Zealand,2011
6235.0,3701.02,68.83,7.0,6806.25,16.28,Norway,2011
7418.5,28.27,12.5,1.0,1286.84,3.03,Poland,2011
51322.0,67.67,5.0,2.0,907.47,6.9,Portugal,2011
10.4,3.22,0.0,2.0,23.12,5.56,Slovenia,2011
53722.75,498.51,44.5,7.0,3381.61,7.07,Spain,2011
12372.75,48.16,15.0,6.0,2336.49,9.68,Sweden,2011
393.0,618.17,3.0,1.0,356.03,7.14,Türkiye,2011
52413.0,1059.84,141.17,6.0,2827.33,12,United Kingdom,2011
1606781.0,448.69,455.58,15.0,6292.96,2.7,United States,2011
9392.75,11.24,1.0,2.0,1763.83,20,  Argentina,2011
59239.75,349.41,8.5,0.0,164.17,0,  Brazil,2011
2690.5,40804.23,51.58,0.0,18880.85,0,  China (People's Republic of),2011
659.75,1330.69,7.5,1.0,3129.11,0.62,  India,2011
131731.8,3242.32,0.0,15.0,2628.7,78.95,  Indonesia,2011
5350.5,450.18,1.33,11.0,753.49,50,  Malaysia,2011
3983.25,608.45,2.0,1.0,2933.01,20,  Peru,2011
9167.25,1604.3,0.0,11.0,720.95,55,  Philippines,2011
113905.5,137.51,73.0,0.0,2101.16,0,  Russia,2011
5201.0,2541.6,2.0,11.0,7698.94,84.62,  Thailand,2011
3319.25,2385.55,0.0,3.0,6843.69,75,  Viet Nam,2011
829988.8,696.26,17.73,6.0,733.1,6.52,Australia,2012
1248.25,0.0,7.5,0.0,962.7,0,Belgium,2012
51087.75,689.36,45.67,9.0,3414.4,4.37,Canada,2012
160674.3,5071.61,17.0,6.0,3793.58,17.65,Chile,2012
61426.5,43.36,1.0,0.0,140.87,0,Colombia,2012
58570.75,22.5,0.0,10.0,198.09,32.26,Costa Rica,2012
18676.25,101.66,24.4,4.0,3666.08,4.71,Denmark,2012
6725.5,2.15,0.0,4.0,230.99,14.29,Estonia,2012
8132.25,44.56,28.0,9.0,54.37,12.68,Finland,2012
114213.8,782.09,105.33,6.0,1573.14,11.32,France,2012
25157.75,67.19,122.5,1.0,2549.4,2.78,Germany,2012
22628.25,474.08,9.0,1.0,652.28,4.35,Greece,2012
2956.75,48.34,0.5,4.0,2357.65,16,Iceland,2012
5762.0,154.74,4.5,3.0,676.6,11.54,Ireland,2012
10.5,45.09,7.5,7.0,29.89,17.5,Israel,2012
37506.25,393.95,26.33,2.0,613.81,3.17,Italy,2012
278178.8,3925.09,184.5,0.0,1294.06,0,Japan,2012
6796.25,1821.23,1404.33,4.0,2295.11,7.14,Korea,2012
4636.25,0.36,1.0,3.0,221.5,8.57,Latvia,2012
1096.25,0.72,1.0,3.0,341.47,10,Lithuania,2012
60186.0,376.56,11.0,2.0,981.1,8.33,Mexico,2012
13692.5,102.29,28.07,5.0,3076.14,12.5,Netherlands,2012
1223627.0,341.16,4.33,2.0,1144.64,5.56,New Zealand,2012
6746.5,3722.09,58.17,7.0,6430.33,16.28,Norway,2012
7418.5,35.46,15.0,1.0,1371.71,2.78,Poland,2012
51322.0,62.52,8.5,2.0,928.33,6.9,Portugal,2012
10.4,3.0,1.0,3.0,23.24,7.89,Slovenia,2012
53807.5,472.81,65.5,7.0,3426.07,6.8,Spain,2012
12433.25,49.35,20.0,6.0,2424.14,10,Sweden,2012
393.0,731.44,4.0,1.0,364.25,7.14,Türkiye,2012
61370.25,944.07,107.07,7.0,2608.96,13.21,United Kingdom,2012
1607593.0,452.46,364.65,15.0,5740.99,2.69,United States,2012
11635.75,10.35,3.5,2.0,1435.17,20,  Argentina,2012
59240.0,353.83,9.0,0.0,162.24,0,  Brazil,2012
2690.5,45516.11,60.75,0.0,19296.96,0,  China (People's Republic of),2012
659.75,1508.26,9.75,1.0,3194.12,0.6,  India,2012
135146.3,3319.39,2.33,15.0,3027.35,78.95,  Indonesia,2012
5359.5,443.84,1.5,11.0,695.3,47.83,  Malaysia,2012
3983.25,394.77,0.25,1.0,2915.89,20,  Peru,2012
9167.25,1670.47,0.5,11.0,824.04,55,  Philippines,2012
113958.3,143.65,72.0,0.0,2004.91,0,  Russia,2012
5201.0,2549.55,1.0,11.0,7687.35,84.62,  Thailand,2012
3319.25,2092.59,1.33,4.0,6403.42,80,  Viet Nam,2012
830412.0,712.93,18.5,6.0,775.32,6.82,Australia,2013
1248.25,0.85,10.83,0.0,945.75,0,Belgium,2013
52431.0,737.69,55.83,9.0,3574.46,4.37,Canada,2013
160674.5,6353.39,20.5,6.0,4351.69,18.18,Chile,2013
63135.5,31.2,0.0,0.0,137.16,0,Colombia,2013
58570.75,22.21,0.0,10.0,162.21,32.26,Costa Rica,2013
18676.25,122.1,23.0,4.0,3966.18,4.76,Denmark,2013
6725.5,1.58,0.33,4.0,222.02,13.79,Estonia,2013
8133.75,55.16,49.33,9.0,51.63,12.68,Finland,2013
115989.5,766.9,75.17,6.0,1573.71,11.11,France,2013
25157.75,69.71,105.0,1.0,2569.43,2.78,Germany,2013
22628.25,472.24,10.0,1.0,608.86,4.35,Greece,2013
2956.75,52.33,0.0,4.0,2352.88,16.67,Iceland,2013
5762.0,137.69,6.0,3.0,630.97,11.11,Ireland,2013
10.5,48.16,23.5,7.0,35.47,17.5,Israel,2013
37506.5,439.78,36.0,2.0,658.94,3.13,Italy,2013
310789.8,3859.34,184.0,0.0,1724.49,0,Japan,2013
6805.75,1832.31,1137.5,4.0,1965.31,7.14,Korea,2013
4637.0,0.44,1.0,3.0,241.03,8.57,Latvia,2013
1414.25,1.16,0.0,3.0,387.07,9.68,Lithuania,2013
60212.0,361.48,11.0,2.0,946.14,8.33,Mexico,2013
13694.5,116.28,37.83,5.0,2948.09,13.51,Netherlands,2013
1223627.0,337.4,4.5,2.0,1046.3,5.71,New Zealand,2013
6769.5,4890.85,57.5,7.0,7376.31,16.28,Norway,2013
7418.5,40.11,14.33,1.0,1519.5,2.63,Poland,2013
51322.0,62.5,6.0,2.0,930.52,6.9,Portugal,2013
11.1,3.61,1.0,3.0,23.75,7.89,Slovenia,2013
53807.5,479.97,39.0,8.0,3344.23,6.96,Spain,2013
12478.25,51.38,41.33,5.0,2879.31,8.77,Sweden,2013
393.0,731.88,5.0,1.0,466.43,7.14,Türkiye,2013
70239.0,1241.83,92.0,7.0,2712.81,13.46,United Kingdom,2013
1610816.0,609.8,373.0,15.0,5848.86,2.7,United States,2013
11635.75,12.77,2.0,2.0,1569.95,20,  Argentina,2013
59319.0,291.21,11.0,0.0,169.82,0,  Brazil,2013
3253.25,48937.16,76.33,0.0,19811.73,0,  China (People's Republic of),2013
659.75,2730.0,12.0,1.0,4462.24,0.6,  India,2013
140677.0,5121.18,3.0,15.0,3447.94,78.95,  Indonesia,2013
5380.25,351.0,4.0,11.0,670.82,47.83,  Malaysia,2013
3983.25,767.04,0.0,1.0,2468.16,20,  Peru,2013
9167.25,1651.48,0.0,11.0,1131.7,55,  Philippines,2013
120066.5,187.02,66.5,0.0,2164.37,0,  Russia,2013
5211.5,1969.48,0.0,11.0,6478.77,84.62,  Thailand,2013
3326.5,2400.73,0.5,4.0,6785.29,80,  Viet Nam,2013
830600.8,689.06,12.67,6.0,922.45,6.59,Australia,2014
1249.75,0.85,5.25,0.0,1020.03,0,Belgium,2014
52434.5,576.57,55.33,9.0,3905.08,4.37,Canada,2014
160675.3,9379.8,15.33,7.0,5534.27,20,Chile,2014
63829.0,31.48,2.0,0.0,163.91,0,Colombia,2014
58570.75,22.07,0.0,10.0,152.71,32.26,Costa Rica,2014
18677.25,114.43,21.37,4.0,4002.77,4.76,Denmark,2014
6725.5,3.16,0.0,4.0,206.45,13.79,Estonia,2014
8156.75,54.82,27.0,9.0,47.49,12.68,Finland,2014
118465.5,688.44,107.67,6.0,1507.69,10.71,France,2014
25161.25,77.09,87.75,1.0,2806.67,2.78,Germany,2014
22628.25,491.32,7.0,1.0,636.46,4.35,Greece,2014
3261.5,57.94,0.33,4.0,2024.74,16.67,Iceland,2014
5762.0,139.94,5.5,3.0,683.89,11.11,Ireland,2014
10.5,45.57,11.0,7.0,35.05,17.07,Israel,2014
37506.5,405.2,30.33,2.0,710.88,3.08,Italy,2014
313364.5,4139.0,158.5,0.0,1743.11,0,Japan,2014
6841.5,2014.42,1291.5,4.0,1773.06,7.02,Korea,2014
4637.0,0.63,1.0,3.0,201.38,7.69,Latvia,2014
1414.25,0.9,0.0,3.0,467.09,9.68,Lithuania,2014
60212.0,479.07,8.5,2.0,1010.37,8,Mexico,2014
13814.5,103.45,32.53,4.0,3419.14,11.43,Netherlands,2014
1223907.0,462.19,3.5,2.0,1061.35,5.71,New Zealand,2014
6769.5,5341.03,60.67,7.0,8221.98,16.28,Norway,2014
7418.5,50.0,21.17,1.0,1697.72,2.63,Poland,2014
51322.0,58.75,4.5,2.0,1016.76,6.9,Portugal,2014
11.1,3.66,2.0,3.0,27.08,8.11,Slovenia,2014
83386.0,527.74,41.0,7.0,3439.97,5.56,Spain,2014
12853.75,51.7,26.5,5.0,3227.05,8.77,Sweden,2014
393.0,855.81,3.0,1.0,603.57,6.25,Türkiye,2014
129122.8,1274.98,104.2,7.0,2902.41,13.46,United Kingdom,2014
1610818.0,525.73,398.7,15.0,5909.73,2.72,United States,2014
11635.75,15.08,2.0,2.0,1756.8,20,  Argentina,2014
60309.75,294.17,16.0,1.0,158.69,11.11,  Brazil,2014
3253.25,52213.92,63.7,0.0,20904.89,0,  China (People's Republic of),2014
659.75,3085.87,8.5,1.0,5462.22,0.6,  India,2014
158209.8,4853.41,0.5,15.0,4116.57,78.95,  Indonesia,2014
5395.75,669.58,1.0,11.0,734.62,47.83,  Malaysia,2014
3983.25,694.55,0.0,1.0,2667.17,20,  Peru,2014
9167.25,1625.17,1.0,11.0,1021.72,55,  Philippines,2014
120156.3,213.62,88.25,1.0,2586.32,7.69,  Russia,2014
5211.5,1731.19,1.0,11.0,6359.39,84.62,  Thailand,2014
3380.5,3518.14,2.0,4.0,7708.13,80,  Viet Nam,2014
830606.0,824.61,14.67,6.0,1078.16,6.74,Australia,2015
1249.75,0.24,6.5,0.0,1069.0,0,Belgium,2015
53968.75,745.25,40.33,9.0,4659.55,4.37,Canada,2015
160896.3,6863.4,10.0,9.0,4963.98,24.32,Chile,2015
63829.0,43.67,1.0,0.0,167.52,0,Colombia,2015
58570.75,21.02,0.0,10.0,139.07,32.26,Costa Rica,2015
18677.25,130.26,17.5,5.0,4283.33,5.88,Denmark,2015
6725.5,2.48,0.0,4.0,190.87,13.79,Estonia,2015
8868.75,54.23,17.0,11.0,42.04,14.86,Finland,2015
121208.5,672.31,87.25,6.0,1642.33,10.53,France,2015
25170.0,71.24,64.33,1.0,2807.26,2.78,Germany,2015
22628.25,527.01,5.0,1.0,661.96,4.35,Greece,2015
3261.5,47.71,0.0,4.0,2075.24,16.67,Iceland,2015
5762.0,158.93,8.0,3.0,682.09,11.11,Ireland,2015
10.5,37.31,20.0,7.0,28.79,17.07,Israel,2015
37575.5,401.77,31.0,2.0,765.12,3.08,Italy,2015
313482.8,4469.21,181.0,0.0,1986.42,0,Japan,2015
6841.75,2103.8,1171.25,4.0,1681.15,7.02,Korea,2015
4637.0,1.16,1.0,3.0,189.16,7.14,Latvia,2015
1554.0,1.61,2.0,4.0,520.92,12.5,Lithuania,2015
60212.0,593.04,17.5,2.0,1054.07,7.41,Mexico,2015
13824.75,111.16,28.0,4.0,3647.94,11.43,Netherlands,2015
1223908.0,666.55,1.0,2.0,1112.49,5.71,New Zealand,2015
6770.0,5811.47,57.0,7.0,9210.98,16.28,Norway,2015
7418.75,44.51,12.0,1.0,1736.43,2.63,Poland,2015
53913.5,59.79,1.0,2.0,1117.59,6.67,Portugal,2015
11.1,4.44,0.0,3.0,28.55,8.11,Slovenia,2015
83529.25,571.76,49.5,7.0,3807.0,5.51,Spain,2015
12885.25,46.04,33.5,5.0,3680.51,8.93,Sweden,2015
393.0,943.83,8.0,1.0,698.91,6.25,Türkiye,2015
129747.5,1127.81,79.33,7.0,2515.27,13.46,United Kingdom,2015
1610826.0,520.07,352.08,15.0,5670.39,2.72,United States,2015
11635.75,14.63,3.0,2.0,1466.76,18.18,  Argentina,2015
60309.75,307.14,20.83,1.0,223.36,11.11,  Brazil,2015
3610.5,54134.56,93.75,0.0,19924.14,0,  China (People's Republic of),2015
659.75,2887.53,14.25,1.0,4883.1,0.6,  India,2015
161291.5,4144.22,0.0,15.0,3788.8,78.95,  Indonesia,2015
5564.25,640.33,3.0,11.0,688.36,47.83,  Malaysia,2015
3983.25,423.22,0.0,1.0,2387.28,20,  Peru,2015
9167.25,1603.04,5.0,11.0,805.29,55,  Philippines,2015
120160.0,281.86,68.0,1.0,3678.73,7.69,  Russia,2015
8361.0,1612.97,2.0,12.0,5701.79,85.71,  Thailand,2015
3380.5,4578.92,3.5,4.0,6774.15,80,  Viet Nam,2015
847506.8,870.17,21.33,6.0,1022.51,6.82,Australia,2016
1249.75,0.0,7.0,0.0,1129.55,0,Belgium,2016
56240.5,1035.38,32.5,9.0,5089.79,4.37,Canada,2016
461388.8,7820.29,9.5,9.0,5238.27,24.32,Chile,2016
63832.75,49.71,4.0,0.0,171.34,0,Colombia,2016
58570.75,24.01,0.0,10.0,118.14,32.26,Costa Rica,2016
19088.25,135.04,25.5,5.0,4701.05,5.88,Denmark,2016
6725.5,2.97,0.0,4.0,148.51,13.79,Estonia,2016
8870.5,68.49,23.67,12.0,63.79,16.22,Finland,2016
123158.0,780.58,67.17,6.0,1718.73,10.53,France,2016
25541.75,87.92,62.67,1.0,2970.52,2.78,Germany,2016
22628.25,587.66,3.5,1.0,744.96,4.35,Greece,2016
3261.5,80.2,0.0,4.0,1814.27,16.67,Iceland,2016
8293.75,170.03,3.0,3.0,665.89,11.11,Ireland,2016
10.5,38.98,16.5,7.0,25.5,16.67,Israel,2016
37634.75,430.78,22.83,2.0,784.9,3.03,Italy,2016
313523.3,4691.22,168.5,0.0,1891.96,0,Japan,2016
6930.5,2268.64,1127.67,4.0,1881.22,7.02,Korea,2016
4637.0,0.71,0.0,3.0,206.67,7.14,Latvia,2016
1554.0,2.08,0.0,4.0,576.0,12.12,Lithuania,2016
566170.5,751.11,11.0,2.0,1155.0,7.14,Mexico,2016
17155.5,90.67,35.5,4.0,4209.96,11.76,Netherlands,2016
1223908.0,788.12,4.0,2.0,1187.29,5.71,New Zealand,2016
7563.25,8060.12,98.67,6.0,11416.02,13.95,Norway,2016
7418.75,56.21,11.5,1.0,2046.26,2.56,Poland,2016
76871.0,66.01,6.33,2.0,1046.91,6.67,Portugal,2016
11.1,5.14,1.0,3.0,39.29,8.11,Slovenia,2016
85123.25,621.71,35.5,7.0,4152.24,5.43,Spain,2016
23599.5,56.71,18.17,5.0,4427.3,8.77,Sweden,2016
393.0,1100.65,5.0,1.0,828.25,6.25,Türkiye,2016
139869.8,1269.97,82.5,7.0,2970.73,13.46,United Kingdom,2016
1640635.0,587.22,386.83,15.0,5532.67,2.72,United States,2016
11631.75,9.8,5.5,2.0,1926.73,18.18,  Argentina,2016
61173.25,271.9,18.0,1.0,237.09,11.11,  Brazil,2016
3610.5,60657.02,92.67,0.0,21383.01,0,  China (People's Republic of),2016
659.75,2715.52,11.83,1.0,5636.47,0.6,  India,2016
164378.0,5456.8,1.0,15.0,3890.2,78.95,  Indonesia,2016
13990.5,512.14,4.0,11.0,744.69,47.83,  Malaysia,2016
3983.25,469.44,1.0,1.0,2246.01,20,  Peru,2016
10056.0,1560.76,4.0,12.0,758.25,57.14,  Philippines,2016
120167.8,347.11,65.83,1.0,4148.63,7.14,  Russia,2016
10798.75,1782.55,2.5,12.0,5939.53,85.71,  Thailand,2016
3380.5,4743.22,1.5,4.0,7291.8,80,  Viet Nam,2016
855714.8,893.65,20.83,6.0,1031.83,6.82,Australia,2017
1249.75,0.0,8.5,0.0,1216.34,0,Belgium,2017
168553.0,1041.47,35.5,9.0,5201.1,4.37,Canada,2017
486509.3,9422.55,12.5,9.0,5575.71,23.68,Chile,2017
94753.5,67.37,3.0,0.0,131.97,0,Colombia,2017
58570.75,22.94,0.0,10.0,133.06,32.26,Costa Rica,2017
19088.25,135.66,29.17,5.0,4735.25,5.88,Denmark,2017
6725.5,2.89,0.5,5.0,147.9,16.13,Estonia,2017
8874.5,78.47,20.5,11.0,162.93,14.86,Finland,2017
123271.3,826.18,89.83,6.0,1742.46,10.53,France,2017
25584.75,94.37,85.67,1.0,2788.07,2.78,Germany,2017
22628.25,606.28,3.0,1.0,765.88,4.35,Greece,2017
3261.5,113.65,2.0,4.0,1584.08,17.39,Iceland,2017
8653.0,212.29,4.5,3.0,739.56,11.11,Ireland,2017
10.5,43.8,20.0,7.0,21.16,16.28,Israel,2017
38215.5,429.65,31.33,2.0,815.62,3.03,Italy,2017
313536.0,4813.33,118.33,0.0,1950.65,0,Japan,2017
6940.0,2755.29,827.17,4.0,1925.2,7.02,Korea,2017
4637.0,0.77,0.0,3.0,218.7,7.32,Latvia,2017
1554.0,1.33,0.0,4.0,600.28,12.12,Lithuania,2017
708751.3,773.63,11.5,2.0,1375.56,7.14,Mexico,2017
17155.5,99.9,55.0,5.0,5123.37,14.29,Netherlands,2017
1223908.0,769.69,5.5,2.0,1156.71,5.71,New Zealand,2017
7563.5,7868.84,112.5,6.0,11328.92,13.95,Norway,2017
7418.75,55.04,16.5,1.0,2169.34,2.56,Poland,2017
76873.75,89.3,11.83,2.0,1131.94,6.67,Portugal,2017
11.1,4.59,0.0,3.0,37.74,8.33,Slovenia,2017
85123.25,633.78,36.33,7.0,4552.94,5.3,Spain,2017
